Domain,Unique Articles,Total Occurrences
thehill.com,5423,38594
www.cnn.com,4392,28844
www.foxnews.com,3817,35570
www.politico.com,2871,27749
www.washingtonpost.com,2600,19119
www.washingtonexaminer.com,2493,17428
nypost.com,1796,13359
www.nytimes.com,1712,17697
www.nbcnews.com,1585,8336
www.usatoday.com,1528,8659
www.cnbc.com,1348,7841
www.newsweek.com,1094,6699
www.breitbart.com,1018,8388
www.thedailybeast.com,944,6713
www.vox.com,934,9484
www.youtube.com,912,4308
abcnews.go.com,874,5530
www.cbsnews.com,856,7542
www.nationalreview.com,804,7044
slate.com,762,5171
theweek.com,752,5064
www.msnbc.com,721,5509
www.wsj.com,642,5227
www.bloomberg.com,638,2794
www.yahoo.com,593,2664
www.axios.com,583,3252
www.wmur.com,564,4010
www.businessinsider.com,561,3701
finance.yahoo.com,549,3218
www.theatlantic.com,534,5227
www.latimes.com,475,3827
www.apnews.com,442,2328
dailycaller.com,441,3561
www.aol.com,432,2003
www.desmoinesregister.com,428,4478
www.bostonglobe.com,428,3392
www.washingtontimes.com,415,2702
www.realclearpolitics.com,413,4354
www.nydailynews.com,411,3554
www.commondreams.org,405,2200
www.salon.com,401,2982
www.foxbusiness.com,384,2554
splinternews.com,376,1796
www.reuters.com,374,1690
www.huffpost.com,368,1776
www.marketwatch.com,322,1669
news.yahoo.com,318,2560
www.motherjones.com,307,1855
www.npr.org,286,2856
www.bostonherald.com,272,2138
www.rollingstone.com,270,2678
www.dallasnews.com,269,2491
freebeacon.com,267,3124
www.mediaite.com,261,2255
www.seattletimes.com,259,2349
deadline.com,257,1387
www.buzzfeednews.com,255,3173
www.vanityfair.com,255,1648
www.theroot.com,249,2135
www.forbes.com,248,1889
www.nj.com,245,2265
nymag.com,242,1576
fivethirtyeight.com,241,5187
reason.com,240,2223
www.huffingtonpost.com,240,874
www.newyorker.com,209,2256
www.sfchronicle.com,197,1787
www.sfgate.com,196,1035
www.newsmax.com,192,1570
www.boston.com,183,1468
mynorthwest.com,182,1636
townhall.com,182,1296
www.rollcall.com,179,1259
www.bbc.com,179,488
www.usnews.com,176,889
people.com,171,523
www.theguardian.com,167,1146
talkingpointsmemo.com,165,665
theslot.jezebel.com,162,1552
www.wbur.org,161,1358
www.politifact.com,159,1766
time.com,158,1167
komonews.com,158,985
www.startribune.com,154,1801
www.detroitnews.com,154,906
www.denverpost.com,151,2960
www.pbs.org,151,1331
www.esquire.com,148,945
apnews.com,144,1020
www.chicagotribune.com,138,923
www.texastribune.org,136,1802
www.cnsnews.com,134,1176
www.jpost.com,134,924
www.hollywoodreporter.com,129,757
www.snopes.com,123,669
www.thenation.com,122,785
www.mercurynews.com,121,728
www.staradvertiser.com,120,1285
www.vice.com,119,1138
www.southbendtribune.com,117,655
www.haaretz.com,115,600
www.masslive.com,114,711
whotv.com,113,954
www.sacbee.com,112,654
www.msn.com,111,562
www.postandcourier.com,107,816
www.thegazette.com,107,789
www.tmz.com,106,790
www.thestate.com,106,615
theintercept.com,105,1140
www.indystar.com,104,659
www.reviewjournal.com,104,518
www.upi.com,103,754
www.newser.com,101,611
thefederalist.com,100,1303
newrepublic.com,100,732
nbcmontana.com,100,710
newyork.cbslocal.com,98,906
www.cleveland.com,96,866
www.inquirer.com,95,1019
www.miamiherald.com,93,472
news3lv.com,92,580
www.coloradopolitics.com,91,995
www.newsday.com,90,441
patch.com,88,546
wsbt.com,87,324
pagesix.com,85,910
helenair.com,85,669
www.houstonchronicle.com,84,776
www.ny1.com,84,563
minnesota.cbslocal.com,83,721
www.thestranger.com,79,658
denver.cbslocal.com,79,583
www.statesman.com,79,451
www.greatfallstribune.com,78,637
www.cpr.org,77,1040
hotair.com,77,811
news.vice.com,77,402
www.vindy.com,76,209
politics.theonion.com,75,2007
forward.com,74,491
kdvr.com,71,932
fortune.com,71,605
www.inquisitr.com,70,578
thinkprogress.org,70,572
www.king5.com,70,480
q13fox.com,69,604
www.kcci.com,69,585
www.thecut.com,69,369
www.unionleader.com,68,338
vtdigger.org,68,264
nationalinterest.org,66,498
www.jacobinmag.com,66,394
heavy.com,66,309
www.post-gazette.com,66,303
www.thewrap.com,65,332
www.freep.com,64,461
www.spokesman.com,63,657
www.refinery29.com,62,354
abcnews4.com,62,343
www.oregonlive.com,62,292
www.kxan.com,62,243
www.wndu.com,62,242
www.civilbeat.org,61,619
chicago.suntimes.com,61,551
washingtonmonthly.com,61,366
www.marijuanamoment.net,60,638
www.ajc.com,60,367
www.jta.org,60,322
www.mlive.com,59,486
www.seattlepi.com,58,551
qz.com,58,315
www.salemnews.com,57,440
ktla.com,57,220
www.essence.com,56,500
www.theverge.com,55,494
www.governor.wa.gov,55,281
www.timesofisrael.com,55,258
www.wcax.com,55,248
www.theblaze.com,54,400
www.sltrib.com,54,226
www.baltimoresun.com,53,405
www.truthdig.com,53,244
www.hawaiinewsnow.com,52,456
www.mtpr.org,51,246
www.wcvb.com,51,236
www.mprnews.org,50,392
www.philly.com,50,157
gothamist.com,49,627
www.wfmj.com,49,396
insider.foxnews.com,49,242
edition.cnn.com,49,115
www.nhpr.org,48,471
www.press-citizen.com,48,337
billingsgazette.com,47,359
www.azcentral.com,47,356
www.twincities.com,46,351
www.advocate.com,45,423
www.chron.com,45,305
gizmodo.com,45,184
www.thedenverchannel.com,44,432
www.theringer.com,44,279
qctimes.com,44,279
www.wthr.com,44,225
variety.com,43,183
abc7news.com,43,121
www.expressnews.com,42,522
www.timesunion.com,42,392
www.concordmonitor.com,42,385
cbs2iowa.com,42,309
www.al.com,42,246
truthout.org,42,241
www.wkbn.com,41,431
www.insidernj.com,41,273
abc7.com,41,167
www.thenewstribune.com,40,410
www.cityandstateny.com,40,346
www.democracynow.org,40,332
www.mcclatchydc.com,40,284
www.elle.com,40,263
www.c-span.org,40,188
www.aljazeera.com,40,133
wtop.com,40,76
wcfcourier.com,39,214
news.avclub.com,39,205
www.sun-sentinel.com,39,204
www.nbcdfw.com,39,130
www.9news.com,38,280
www.amny.com,38,244
boston.cbslocal.com,38,224
coloradosun.com,37,493
gazette.com,37,259
markets.businessinsider.com,37,222
www.gq.com,37,192
kfoxtv.com,37,130
www.minnpost.com,36,645
www.fastcompany.com,36,414
www.rawstory.com,36,288
www.scmp.com,36,217
www.mediamatters.org,36,209
prospect.org,36,206
www.kcrg.com,36,185
www.nbcboston.com,36,130
www.wgbh.org,35,331
www.kiro7.com,35,324
www.dispatch.com,35,250
missoulian.com,35,230
abc7ny.com,35,217
floridapolitics.com,34,258
grist.org,33,460
www.ccn.com,33,385
www.theamericanconservative.com,33,334
www.sentinelsource.com,33,238
www.rgj.com,33,211
www.wral.com,33,140
www.necn.com,33,85
www.crainsnewyork.com,32,347
www.tampabay.com,32,186
wjla.com,32,183
www.star-telegram.com,32,180
mashable.com,32,158
www.courant.com,32,155
www.rt.com,31,327
thegrio.com,31,266
earther.gizmodo.com,31,263
katu.com,31,147
deadspin.com,31,130
boingboing.net,31,121
www.deseret.com,30,294
www.khq.com,30,236
www.fosters.com,30,123
abc13.com,30,78
www.mysanantonio.com,29,236
newjerseyglobe.com,29,215
news4sanantonio.com,29,210
www.factcheck.org,29,197
www.nbcnewyork.com,29,155
abc3340.com,29,140
www.10tv.com,29,114
www.dailywire.com,29,106
www.toledoblade.com,28,227
www.dailydot.com,28,217
www.billboard.com,28,139
www.independent.co.uk,28,125
bringmethenews.com,27,302
crooked.com,27,264
www.silive.com,27,222
www.barrons.com,27,189
www.northjersey.com,27,181
www.cincinnati.com,27,154
cbsaustin.com,27,128
www.delawareonline.com,27,105
www.ksat.com,26,298
kstp.com,26,189
www.commentarymagazine.com,26,175
www.duluthnewstribune.com,26,157
www.elpasotimes.com,26,118
www.pressherald.com,26,116
www.newsobserver.com,26,99
www.geekwire.com,25,179
www.gloucestertimes.com,25,139
www.bet.com,25,126
www.charlotteobserver.com,25,101
khqa.com,25,79
siouxlandnews.com,25,69
www.westword.com,24,467
www.jsonline.com,24,273
www.eagletribune.com,24,229
www.out.com,24,221
jacobinmag.com,24,221
thenevadaindependent.com,24,190
siouxcityjournal.com,24,157
www.pastemagazine.com,24,150
www.nbclosangeles.com,24,99
www.complex.com,24,92
www.ctpost.com,24,73
spectator.us,23,268
1010wins.radio.com,23,219
www.cfr.org,23,206
triblive.com,23,199
www.frontpagemag.com,23,193
www.greenvilleonline.com,23,179
www.aspentimes.com,23,161
www.wowt.com,23,158
www.cnet.com,23,156
www.seacoastonline.com,23,130
www.teenvogue.com,23,124
www.deseretnews.com,23,117
sanfrancisco.cbslocal.com,23,81
www.bizjournals.com,23,73
6abc.com,23,46
www.texasmonthly.com,22,348
religionnews.com,22,250
www.live5news.com,22,215
crosscut.com,22,195
www.economist.com,22,163
nj1015.com,22,137
sputniknews.com,22,109
www.lamag.com,22,93
www.clickondetroit.com,22,51
abc7chicago.com,22,40
www.courier-journal.com,21,251
www.kxly.com,21,236
www.alternet.org,21,151
abovethelaw.com,21,119
pix11.com,21,92
inthesetimes.com,21,81
www.phillyvoice.com,21,78
www.burlingtonfreepress.com,21,54
wlos.com,21,54
www.columbian.com,20,175
remezcla.com,20,115
www.ktvu.com,20,106
www.syracuse.com,20,93
www.ocregister.com,20,53
www.pennlive.com,20,46
www.townandcountrymag.com,19,473
nyc.streetsblog.org,19,428
www.wyff4.com,19,230
nowthisnews.com,19,192
www.dallasobserver.com,19,158
www.fox9.com,19,148
www.bustle.com,19,114
www.vulture.com,19,103
fox8.com,19,95
www.vnews.com,19,77
www.richmond.com,18,242
dailyiowan.com,18,218
www.kitv.com,18,181
hillreporter.com,18,173
www.gothamgazette.com,18,168
wpde.com,18,160
www.orlandosentinel.com,18,117
www.abc57.com,18,111
www.kron4.com,18,106
www.kare11.com,18,77
dfw.cbslocal.com,18,75
www.theweek.com,18,69
www.fresnobee.com,18,61
www.sandiegouniontribune.com,18,40
kutv.com,18,38
insideclimatenews.org,17,215
www.heraldnet.com,17,213
newsmaven.io,17,210
www.cosmopolitan.com,17,186
buffalonews.com,17,172
www.eater.com,17,143
www.heraldonline.com,17,140
techcrunch.com,17,125
www.tribtoday.com,17,124
www.ncronline.org,17,113
www.timesrepublican.com,17,108
www.ifiberone.com,17,103
arstechnica.com,17,98
kpax.com,17,95
www.fool.com,17,85
businessjournaldaily.com,17,84
www1.cbn.com,17,70
ew.com,17,68
www.kvia.com,17,56
www.mcall.com,17,51
fox59.com,17,48
wqad.com,17,39
www.ksl.com,17,37
www.kesq.com,17,20
www.coloradoindependent.com,16,185
www.miaminewtimes.com,16,160
www.kuow.org,16,133
www.irishtimes.com,16,122
www.conwaydailysun.com,16,114
www.fox4news.com,16,105
www.kcra.com,16,98
www.kulr8.com,16,90
www.kolotv.com,16,57
sports.yahoo.com,16,47
www.wataugademocrat.com,16,33
local12.com,16,25
mondoweiss.net,15,292
www.vogue.com,15,151
www.opensecrets.org,15,150
thetandd.com,15,148
www.ebony.com,15,122
www.foxla.com,15,104
www.kimt.com,15,101
www.washingtonblade.com,15,100
www.coloradoan.com,15,94
www.csmonitor.com,15,92
www.engadget.com,15,80
ktvo.com,15,72
www.independent.ie,15,59
bigislandnow.com,15,50
abc6onyourside.com,15,50
www.nbcbayarea.com,15,47
www.ktnv.com,15,40
13wham.com,15,31
www.channel3000.com,15,28
www.wdel.com,15,18
www.iowastatedaily.com,14,173
friendlyatheist.patheos.com,14,171
www.glamour.com,14,152
www.kgw.com,14,139
www.towleroad.com,14,130
www.insidesources.com,14,126
therivardreport.com,14,120
kwwl.com,14,95
www.grandforksherald.com,14,81
www.kqed.org,14,76
www.desertsun.com,14,74
kimatv.com,14,74
fox6now.com,14,68
morningconsult.com,14,57
www.courthousenews.com,14,47
www.nbcsandiego.com,14,41
www.propublica.org,14,36
www.peninsuladailynews.com,14,31
www.wivb.com,14,30
foreignpolicy.com,14,24
www.itemlive.com,13,250
thetakeout.com,13,191
www.citylab.com,13,186
mynews4.com,13,180
www.bostonmagazine.com,13,166
cleantechnica.com,13,151
www.nraila.org,13,147
bigthink.com,13,138
theoutline.com,13,123
psmag.com,13,123
ktvq.com,13,111
www.khon2.com,13,105
www.tri-cityherald.com,13,100
muscatinejournal.com,13,94
www.wksu.org,13,93
www.wired.com,13,84
www.militarytimes.com,13,77
www.krem.com,13,62
www.charlestoncitypaper.com,13,59
radio.foxnews.com,13,56
abc11.com,13,44
www.baynews9.com,13,24
wwmt.com,13,24
therealdeal.com,12,147
katv.com,12,145
krtv.com,12,137
cointelegraph.com,12,123
publicintegrity.org,12,122
taskandpurpose.com,12,120
wcbs880.radio.com,12,118
www.opb.org,12,112
www.bozemandailychronicle.com,12,110
lmtribune.com,12,97
www.wfaa.com,12,92
www.mynbc5.com,12,89
www.si.com,12,79
globegazette.com,12,78
www.abcfoxmontana.com,12,77
therealnews.com,12,74
www.caller.com,12,62
www.omaha.com,12,56
www.wibc.com,12,51
www.nola.com,12,46
pittsburgh.cbslocal.com,12,44
www.telegraphherald.com,12,43
www.news10.com,12,32
www.wfla.com,12,30
www.express.co.uk,12,24
ravallirepublic.com,12,20
www.wric.com,12,19
www.bigislandvideonews.com,11,184
www.military.com,11,126
www.islandpacket.com,11,115
rewire.news,11,114
www.app.com,11,97
www.thedartmouth.com,11,90
www.democratandchronicle.com,11,81
www.city-journal.org,11,75
www.lohud.com,11,74
www.krdo.com,11,64
www.wtae.com,11,62
www.spin.com,11,47
spectrumlocalnews.com,11,37
www.sevendaysvt.com,11,35
www.nbc4i.com,11,32
losangeles.cbslocal.com,11,32
wset.com,11,28
wgme.com,11,26
www.khou.com,11,24
newschannel9.com,11,22
www.wkyt.com,11,19
observer.com,11,17
www.france24.com,11,11
marketrealist.com,10,167
www.kmaland.com,10,137
www.christianpost.com,10,133
vegnews.com,10,133
www.tennessean.com,10,132
www.theolympian.com,10,113
www.newnownext.com,10,89
www.lifesitenews.com,10,82
keprtv.com,10,81
www.ledgertranscript.com,10,80
www.investors.com,10,79
www.statnews.com,10,76
www.sacurrent.com,10,71
www.koco.com,10,69
newstalk955.com,10,69
www.theonion.com,10,67
mobile.reuters.com,10,67
commonwealthmagazine.org,10,67
www.espn.com,10,66
www.ammoland.com,10,65
www.washingtonian.com,10,64
wamu.org,10,64
flatheadbeacon.com,10,62
saraacarter.com,10,61
lasvegassun.com,10,58
www.metrotimes.com,10,56
www.newburyportnews.com,10,55
www.gjsentinel.com,10,52
whdh.com,10,51
www.inforum.com,10,47
www.ktvz.com,10,46
www.theepochtimes.com,10,41
www.cjonline.com,10,40
www.chicagobusiness.com,10,38
mauinow.com,10,34
www.thestreet.com,10,28
www.wxyz.com,10,27
www.today.com,10,24
foxsanantonio.com,10,24
cbs6albany.com,10,24
bangordailynews.com,10,20
www.themarysue.com,9,158
www.citypages.com,9,148
readsludge.com,9,146
radio.wosu.org,9,122
www.boston25news.com,9,87
www.oprahmag.com,9,86
www.mtv.com,9,82
fox17online.com,9,79
www.ozy.com,9,78
www.ourquadcities.com,9,73
www.inc.com,9,73
www.fox5ny.com,9,73
www.chronline.com,9,72
ktul.com,9,72
www.summitdaily.com,9,68
www.ecowatch.com,9,66
www.theindychannel.com,9,64
www.algemeiner.com,9,61
consequenceofsound.net,9,57
kfgo.com,9,56
www.ktsm.com,9,55
upolitics.com,9,55
www.pressdemocrat.com,9,53
www.1380kcim.com,9,51
koaa.com,9,51
www.sfexaminer.com,9,49
fair.org,9,48
today.yougov.com,9,45
www.stltoday.com,9,42
www.lasvegasnow.com,9,40
www.fox10phoenix.com,9,39
cheddar.com,9,37
www.providencejournal.com,9,35
www.arkansasonline.com,9,35
www.ktsa.com,9,34
video.foxnews.com,9,34
www.nhregister.com,9,32
www.fairfieldsuntimes.com,9,32
durangoherald.com,9,30
www.cjr.org,9,27
www.11alive.com,9,25
www.local10.com,9,23
www.kniakrls.com,9,23
thebulwark.com,9,23
www.tulsaworld.com,9,20
kfor.com,9,20
www.10news.com,9,19
www.marieclaire.com,9,14
consortiumnews.com,8,268
www.wweek.com,8,140
www.mic.com,8,111
www.counterpunch.org,8,94
sfist.com,8,91
www.curbed.com,8,90
noqreport.com,8,83
calmatters.org,8,80
www.oudaily.com,8,79
electrek.co,8,79
www.ohio.com,8,78
madison.com,8,77
www.wrdw.com,8,75
poststar.com,8,71
mtstandard.com,8,70
www.blackenterprise.com,8,68
www.wnyc.org,8,63
www.abc15.com,8,61
www.nonpareilonline.com,8,60
bklyner.com,8,60
www.daytondailynews.com,8,59
www.kktv.com,8,57
theappeal.org,8,56
turnto10.com,8,52
missoulacurrent.com,8,50
www.theadvocate.com,8,49
www.amgreatness.com,8,48
www.fox5vegas.com,8,43
www.fitsnews.com,8,42
www.kansascity.com,8,41
www.wlwt.com,8,40
www.lifezette.com,8,38
www.kcrw.com,8,37
www.chalkbeat.org,8,37
www.insidehighered.com,8,36
www.politicspa.com,8,32
www.ktvn.com,8,32
www.dailysignal.com,8,31
www.wfae.org,8,30
ktar.com,8,30
theconcourse.deadspin.com,8,26
www.thedp.com,8,25
www.postindependent.com,8,23
www.nashuatelegraph.com,8,22
www.stamfordadvocate.com,8,21
newjersey.news12.com,8,20
www.brainerddispatch.com,8,17
www.kenoshanews.com,8,10
www.whio.com,8,9
khn.org,7,142
www.texasstandard.org,7,105
www.wsfa.com,7,99
kvia.com,7,76
www.sctimes.com,7,73
www.indiewire.com,7,68
emersonpolling.reportablenews.com,7,68
www.messengernews.net,7,67
www.kitsapsun.com,7,58
www.nbcrightnow.com,7,56
timesofsandiego.com,7,54
www.valleynewslive.com,7,50
www.israelnationalnews.com,7,45
oklahoman.com,7,45
tucson.com,7,44
ny.curbed.com,7,43
fox5sandiego.com,7,43
www.ketv.com,7,42
kgmi.com,7,42
valleycentral.com,7,41
www.wkrn.com,7,40
tdn.com,7,39
www.montgomeryadvertiser.com,7,38
myfox8.com,7,37
jezebel.com,7,37
futurism.com,7,35
wvmetronews.com,7,29
www.tabletmag.com,7,27
fox17.com,7,26
www.greenwichtime.com,7,25
fox2now.com,7,25
onenewsnow.com,7,24
timesofindia.indiatimes.com,7,23
idahonews.com,7,19
www.voanews.com,7,18
